review_id,review_date,product_id,rating,review_text,verified_purchase,helpful_votes,country,text_sentiment,primary_topic,topic_evidence,rating_sentiment,sentiment_mismatch,review_month
R00001,2025-08-26,P020,3,works as expected,True,1,Canada,neutral,unclassified,0,neutral,False,2025-08
R00002,2025-08-07,P014,1,not worth the price,True,3,United States,neutral,value,2,negative,False,2025-08
R00003,2025-09-13,P010,4,still works perfectly after months,True,0,United States,positive,durability,1,positive,False,2025-09
R00004,2026-07-24,P012,5,simple controls and clear instructions,True,0,United Kingdom,positive,usability,2,positive,False,2026-07
R00005,2026-02-25,P017,2,instructions are unclear,True,0,United States,negative,usability,1,negative,False,2026-02
R00006,2025-11-12,P018,4,simple controls and clear instructions,True,3,Germany,positive,usability,2,positive,False,2025-11
R00007,2026-05-22,P015,5,still works perfectly after months,True,2,Canada,positive,durability,1,positive,False,2026-05
R00008,2025-09-28,P030,1,delivery took far too long,True,2,United States,neutral,delivery,1,negative,False,2025-09
R00009,2025-08-30,P008,2,shipping was smooth,True,1,Australia,positive,delivery,1,negative,True,2025-08
R00010,2025-08-05,P018,4,excellent price to performance,True,5,United States,positive,value,1,positive,False,2025-08
R00011,2026-05-21,P007,4,shipping was smooth,True,0,United States,positive,delivery,1,positive,False,2026-05
R00012,2025-08-08,P011,5,size and fit are exactly right,True,1,Australia,positive,fit,2,positive,False,2025-08
R00013,2025-08-09,P021,5,feels premium and reliable,True,0,United States,positive,unclassified,0,positive,False,2025-08
R00014,2025-11-19,P008,5,feels premium and reliable,True,2,United States,positive,unclassified,0,positive,False,2025-11
R00015,2026-04-11,P014,4,has held up really well,True,5,Australia,neutral,unclassified,0,positive,False,2026-04
R00016,2025-12-27,P030,3,does what the listing says,True,1,United States,neutral,unclassified,0,neutral,False,2025-12
R00017,2026-07-31,P026,5,worth every dollar,False,2,United States,positive,value,1,positive,False,2026-07
R00018,2026-07-02,P003,1,poor build quality and cheap materials,True,5,Australia,negative,quality,2,negative,False,2026-07
R00019,2025-12-18,P016,5,has held up really well,True,2,Germany,neutral,unclassified,0,positive,False,2025-12
R00020,2026-05-16,P003,5,size and fit are exactly right,False,1,Australia,positive,fit,2,positive,False,2026-05
R00021,2025-11-18,P001,5,arrived early and well packaged,True,1,United States,positive,delivery,1,positive,False,2025-11
