post_id,date,month,platform,campaign,format,theme,paid,impressions,reach,engagements,clicks,conversions,spend,revenue,follower_start,followers_gained,followers_lost,follower_end,response_hours
SM0001,2026-06-01,2026-06,Instagram,Always On,Short Video,Education,1,6795,4890,344,116,11,594.62,1018.65,28400,7,1,28406,35.9
SM0002,2026-06-02,2026-06,Instagram,Summer Launch,Carousel,Customer Story,0,11354,9078,904,231,11,0,2080.88,28406,22,4,28424,22.8
SM0003,2026-06-03,2026-06,Instagram,Lead Gen,Static Image,Industry Insight,0,3577,2450,104,81,5,0,728.21,28424,5,2,28427,11.1
SM0004,2026-06-04,2026-06,Instagram,Brand Trust,Article,Education,0,13859,9792,497,382,16,0,2172.82,28427,18,6,28439,47.4
SM0005,2026-06-05,2026-06,Instagram,Always On,Live Clip,Customer Story,1,10341,7398,638,300,19,834.6,1599.21,28439,11,1,28449,31.1
SM0006,2026-06-06,2026-06,Instagram,Summer Launch,Short Video,Industry Insight,0,9490,7671,376,151,6,0,1059.08,28449,16,3,28462,19.7
SM0007,2026-06-07,2026-06,Instagram,Lead Gen,Carousel,Education,0,5375,4003,308,105,11,0,899.55,28462,6,1,28467,16.3
SM0008,2026-06-08,2026-06,Instagram,Brand Trust,Static Image,Customer Story,0,9983,7566,466,156,10,0,1506.35,28467,11,3,28475,7.2
SM0009,2026-06-09,2026-06,Instagram,Always On,Article,Industry Insight,1,15501,10513,997,215,23,693.2,2379.63,28475,21,8,28488,11.6
SM0010,2026-06-10,2026-06,Instagram,Summer Launch,Live Clip,Education,0,5546,3668,138,50,5,0,549.46,28488,3,0,28491,38
SM0011,2026-06-11,2026-06,Instagram,Lead Gen,Short Video,Customer Story,0,7264,5473,345,193,12,0,1861.64,28491,13,2,28502,44
SM0012,2026-06-12,2026-06,Instagram,Brand Trust,Carousel,Industry Insight,0,3595,2769,103,81,5,0,694.87,28502,4,1,28505,49.3
SM0013,2026-06-13,2026-06,Instagram,Always On,Static Image,Education,1,4537,3396,254,107,10,469.95,1789.29,28505,6,1,28510,38.2
SM0014,2026-06-14,2026-06,Instagram,Summer Launch,Article,Customer Story,0,3460,2614,230,69,6,0,845.56,28510,6,2,28514,25.4
SM0015,2026-06-15,2026-06,Instagram,Lead Gen,Live Clip,Industry Insight,0,4707,3312,120,98,8,0,705.34,28514,7,2,28519,23
SM0016,2026-06-16,2026-06,Instagram,Brand Trust,Short Video,Education,0,7243,5392,504,122,7,0,566.43,28519,6,2,28523,25.9
