Client ID,Client Name,Industry,Contact,Email,Payment Terms (Days)
C001,Northstar Creative,Agency,Maya Chen,maya@northstar.example,30
C002,Lumen Health Studio,Healthcare,Elias Ward,elias@lumen.example,15
C003,Cedar & Co. Retail,Retail,Nora Patel,nora@cedar.example,30
C004,Harbor Legal Partners,Legal,Owen Brooks,owen@harbor.example,30
C005,Atlas Property Group,Real Estate,Sara Lin,sara@atlas.example,21
C006,BrightPath Learning,Education,Lina Costa,lina@brightpath.example,15
C007,PeakFit Clubs,Fitness,Noah Reed,noah@peakfit.example,30
C008,GreenFork Catering,Hospitality,Ava Stone,ava@greenfork.example,14
C009,Orbit SaaS Labs,Technology,Leo Martin,leo@orbit.example,30
C010,Willow Events,Events,Emma Hayes,emma@willow.example,15
C011,Copperline Consulting,Consulting,Iris Young,iris@copperline.example,30
C012,Bluebird Media,Media,Theo King,theo@bluebird.example,21
