LineID,OrderID,OrderDate,CustomerID,CustomerName,Segment,CustomerCity,CustomerCountry,ProductID,ProductName,Category,Brand,StoreID,StoreName,StoreCity,StoreCountry,Channel,Quantity,DiscountPct,SalesAmount,CostAmount,ProfitAmount
1,ORD-0001,2026-05-30,C118,Customer 118,Small Business,Antalya,Türkiye,P002,Mechanical Keyboard,Accessories,KeyPro,S03,Izmir Coast,Izmir,Türkiye,Retail,4,0,316,168,148
2,ORD-0002,2026-06-13,C047,Customer 047,Small Business,Antalya,Türkiye,P001,Wireless Mouse,Accessories,TechGear,S02,Ankara Hub,Ankara,Türkiye,Retail,2,0,68,36,32
3,ORD-0003,2026-04-06,C012,Customer 012,Small Business,Istanbul,Türkiye,P002,Mechanical Keyboard,Accessories,KeyPro,S02,Ankara Hub,Ankara,Türkiye,Retail,4,0.15,268.6,168,100.6
4,ORD-0003,2026-04-06,C012,Customer 012,Small Business,Istanbul,Türkiye,P001,Wireless Mouse,Accessories,TechGear,S02,Ankara Hub,Ankara,Türkiye,Retail,5,0.15,144.5,90,54.5
5,ORD-0004,2026-02-04,C019,Customer 019,Consumer,Antalya,Türkiye,P009,Portable SSD 1TB,Storage,DataGo,S04,Online Türkiye,Türkiye,Türkiye,Online,4,0.1,428.4,252,176.4
6,ORD-0005,2026-03-24,C123,Customer 123,Corporate,Bursa,Türkiye,P009,Portable SSD 1TB,Storage,DataGo,S02,Ankara Hub,Ankara,Türkiye,Retail,2,0,238,126,112
7,ORD-0005,2026-03-24,C123,Customer 123,Corporate,Bursa,Türkiye,P012,4K Monitor,Displays,ViewMax,S02,Ankara Hub,Ankara,Türkiye,Retail,1,0.1,359.1,225,134.1
8,ORD-0006,2026-07-19,C106,Customer 106,Consumer,Antalya,Türkiye,P008,Desk Lamp,Office,BrightCo,S03,Izmir Coast,Izmir,Türkiye,Retail,1,0,45,20,25
9,ORD-0007,2026-02-04,C029,Customer 029,Consumer,Istanbul,Türkiye,P011,Gaming Chair,Office,ErgoWorks,S04,Online Türkiye,Türkiye,Türkiye,Online,1,0.05,208.05,115,93.05
10,ORD-0008,2026-06-28,C015,Customer 015,Consumer,Antalya,Türkiye,P003,USB-C Hub,Accessories,Connectix,S02,Ankara Hub,Ankara,Türkiye,Retail,3,0,165,84,81
11,ORD-0008,2026-06-28,C015,Customer 015,Consumer,Antalya,Türkiye,P004,27-inch Monitor,Displays,ViewMax,S02,Ankara Hub,Ankara,Türkiye,Retail,3,0,747,435,312
12,ORD-0009,2026-06-21,C028,Customer 028,Small Business,Istanbul,Türkiye,P009,Portable SSD 1TB,Storage,DataGo,S03,Izmir Coast,Izmir,Türkiye,Retail,2,0,238,126,112
13,ORD-0009,2026-06-21,C028,Customer 028,Small Business,Istanbul,Türkiye,P003,USB-C Hub,Accessories,Connectix,S03,Izmir Coast,Izmir,Türkiye,Retail,1,0.05,52.25,28,24.25
14,ORD-0010,2026-02-27,C065,Customer 065,Small Business,Ankara,Türkiye,P005,Laptop Stand,Office,ErgoWorks,S02,Ankara Hub,Ankara,Türkiye,Retail,5,0.1,220.5,110,110.5
15,ORD-0011,2026-06-26,C085,Customer 085,Consumer,Ankara,Türkiye,P011,Gaming Chair,Office,ErgoWorks,S03,Izmir Coast,Izmir,Türkiye,Retail,4,0,876,460,416
16,ORD-0011,2026-06-26,C085,Customer 085,Consumer,Ankara,Türkiye,P005,Laptop Stand,Office,ErgoWorks,S03,Izmir Coast,Izmir,Türkiye,Retail,1,0.15,41.65,22,19.65
17,ORD-0012,2026-05-13,C106,Customer 106,Consumer,Antalya,Türkiye,P007,Webcam Pro,Video,VisionLab,S01,Istanbul Central,Istanbul,Türkiye,Retail,5,0.15,378.25,220,158.25
18,ORD-0012,2026-05-13,C106,Customer 106,Consumer,Antalya,Türkiye,P002,Mechanical Keyboard,Accessories,KeyPro,S01,Istanbul Central,Istanbul,Türkiye,Retail,2,0.05,150.1,84,66.1
19,ORD-0013,2026-01-31,C135,Customer 135,Small Business,Ankara,Türkiye,P008,Desk Lamp,Office,BrightCo,S02,Ankara Hub,Ankara,Türkiye,Retail,1,0,45,20,25
20,ORD-0014,2026-04-04,C049,Customer 049,Consumer,Bursa,Türkiye,P003,USB-C Hub,Accessories,Connectix,S01,Istanbul Central,Istanbul,Türkiye,Retail,1,0.05,52.25,28,24.25
21,ORD-0014,2026-04-04,C049,Customer 049,Consumer,Bursa,Türkiye,P010,Bluetooth Speaker,Audio,SonicWave,S01,Istanbul Central,Istanbul,Türkiye,Retail,4,0,300,144,156
22,ORD-0015,2026-02-13,C152,Customer 152,Small Business,Istanbul,Türkiye,P008,Desk Lamp,Office,BrightCo,S04,Online Türkiye,Türkiye,Türkiye,Online,2,0,90,40,50
23,ORD-0015,2026-02-13,C152,Customer 152,Small Business,Istanbul,Türkiye,P005,Laptop Stand,Office,ErgoWorks,S04,Online Türkiye,Türkiye,Türkiye,Online,1,0,49,22,27
24,ORD-0016,2026-01-11,C124,Customer 124,Small Business,Izmir,Türkiye,P005,Laptop Stand,Office,ErgoWorks,S02,Ankara Hub,Ankara,Türkiye,Retail,5,0.15,208.25,110,98.25
25,ORD-0017,2026-06-09,C032,Customer 032,Consumer,Antalya,Türkiye,P012,4K Monitor,Displays,ViewMax,S03,Izmir Coast,Izmir,Türkiye,Retail,5,0.05,1895.25,1125,770.25
