review_id,review_date,product_id,rating,review_text,verified_purchase,helpful_votes,country
R00001,2025-08-26,P020,3,works as expected,True,1,Canada
R00002,2025-08-07,P014,1,not worth the price,True,3,United States
R00003,2025-09-13,P010,4,still works perfectly after months,True,0,United States
R00004,2026-07-24,P012,5,simple controls and clear instructions,True,0,United Kingdom
R00005,2026-02-25,P017,2,instructions are unclear,True,0,United States
R00006,2025-11-12,P018,4,simple controls and clear instructions,True,3,Germany
R00007,2026-05-22,P015,5,still works perfectly after months,True,2,Canada
R00008,2025-09-28,P030,1,delivery took far too long,True,2,United States
R00009,2025-08-30,P008,2,shipping was smooth,True,1,Australia
R00010,2025-08-05,P018,4,excellent price to performance,True,5,United States
R00011,2026-05-21,P007,4,shipping was smooth,True,0,United States
R00012,2025-08-08,P011,5,size and fit are exactly right,True,1,Australia
R00013,2025-08-09,P021,5,feels premium and reliable,True,0,United States
R00014,2025-11-19,P008,5,feels premium and reliable,True,2,United States
R00015,2026-04-11,P014,4,has held up really well,True,5,Australia
R00016,2025-12-27,P030,3,does what the listing says,True,1,United States
R00017,2026-07-31,P026,5,worth every dollar,False,2,United States
R00018,2026-07-02,P003,1,poor build quality and cheap materials,True,5,Australia
R00019,2025-12-18,P016,5,has held up really well,True,2,Germany
R00020,2026-05-16,P003,5,size and fit are exactly right,False,1,Australia
R00021,2025-11-18,P001,5,arrived early and well packaged,True,1,United States
R00022,2026-05-31,P022,5,arrived early and well packaged,True,5,Germany
R00023,2025-11-25,P001,5,still works perfectly after months,True,1,United States
R00024,2025-10-14,P006,5,great value for the price,True,2,United States
R00025,2026-06-11,P001,4,worth every dollar,True,3,Canada
R00026,2025-11-11,P007,5,feels premium and reliable,True,1,Germany
R00027,2026-02-13,P028,2,poor value compared with alternatives,True,0,United States
R00028,2025-12-27,P012,5,still works perfectly after months,True,2,United States
R00029,2026-07-20,P030,5,shipping was smooth,True,6,United States
R00030,2026-03-07,P006,5,excellent build quality,True,0,Germany
R00031,2025-12-16,P029,2,quality is disappointing,True,1,Germany
R00032,2026-01-31,P003,2,uncomfortable and badly sized,True,4,United States
R00033,2025-12-13,P010,4,fits perfectly and feels comfortable,True,3,United States
R00034,2025-09-23,P002,2,durability is unacceptable,True,8,United States
R00035,2026-02-16,P023,4,easy to set up and use,True,4,United States
R00036,2026-02-10,P008,1,arrived late with damaged packaging,True,5,United Kingdom
R00037,2025-11-02,P001,2,excellent build quality,True,2,Germany
R00038,2025-09-03,P019,4,easy to set up and use,True,4,United Kingdom
R00039,2026-03-08,P014,2,quality is disappointing,True,1,United Kingdom
